ID,ELEMENT_NAME,ctlvalue,initCond1,returnCond1,returnCondTO
:R:A:BAS:FAND:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-EXESTA.value]=1,1,0)",30
:R:A:BAS:FAND:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-EXESTA.value]=1),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:FANX:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:FANX:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:FANX:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-EXESTA.value]=1,1,0)",30
:R:A:BAS:FANX:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-EXESTA.value]=1),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:FANR:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:FANR:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:FANR:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-EXESTA.value]=1,1,0)",30
:R:A:BAS:FANR:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-EXESTA.value]=1),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:LQB_:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:LQB_:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:LQB_:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-EXESTA.value]=1,1,0)",30
:R:A:BAS:LQB_:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-EXESTA.value]=1),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:LQT_:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:LQT_:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:LQT_:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-STPSTA.value]=1),1,0)","IF([^:^:dciBAS-EXESTA.value]=1,1,0)",30
:R:A:BAS:LQT_:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-BASECS.value]=1) AND ([^:^:dciBAS-EXESTA.value]=1),1,0)","IF([^:^:dciBAS-STPSTA.value]=1,1,0)",30
:R:A:BAS:HPFD:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:HPFD:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:HPFD:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-ENCTL.value]=1) AND ([^:^:dciBAS-STOPSTA.value]=1),1,0)","IF([^:^:dciBAS-RUNSTA.value]=1,1,0)",30
:R:A:BAS:HPFD:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-ENCTL.value]=1) AND ([^:^:dciBAS-RUNSTA.value]=1),1,0)","IF([^:^:dciBAS-STOPSTA.value]=1,1,0)",30
