ID,ELEMENT_NAME,ackAutomaton,valueAutomaton,theme
:R:A:BAS:TJSB:dciBAS-RUNSTOP2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-FLTALM2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-RUNSTOP3:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-FLTALM3:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-UHLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-TWIPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-DWPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-SIGPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-STPPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-LLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-MPRTFLT1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-MPRTFLT2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-MPRTFLT3:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-MPRUNSG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-BPRUNSG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-ULFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:aciBAS-LEVSTA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:TJSB:aciBAS-RUNTIME1:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:TJSB:aciBAS-RUMTIME2:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:TJSB:aciBAS-RUNTIME3:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:dciBAS-ATSDW:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-ATSSIG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-ATSBAK:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-NORSUL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-CHAFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-INVFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-LPRESSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-MTCBSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:dciBAS-FEDFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS_:aciBAS-TOTVOLT:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-BATTEMP:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-INVOLTPHA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-INVOLTPHB:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-INVOLTPHC:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-OTVOLTPHA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-OTVOLTPHB:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-OTVOLTPHC:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-CURA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-CURB:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS_:aciBAS-CURC:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:EPS1:dciBAS-MPOWNORM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS1:dciBAS-BPOWNORM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS1:dciBAS-MPOWSUP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS1:dciBAS-BPOWSUP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS1:dciBAS-MTCBSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:EPS1:dciBAS-NORSUL:dal,dal_type,Ack,DIBasic2StateLog,0
