ID,ELEMENT_NAME,label,valueLength,unit,__AGGREGATE__,initCond1,returnCond1,returnCondTO,Archive,hmiOrder,computedMessage,type
:R:A:BAS:DJSB:dciBAS-UHLALM,dci_cb_type,&DB_CHAO,,,,,,,,8,,__ERASE__
:R:A:BAS:DJSB:dciBAS-DWPUMP,dci_cb_type,&DB_QISH,,,,,,,,9,,__ERASE__
:R:A:BAS:DJSB:dciBAS-SIGPUMP,dci_cb_type,&DB_QIDA,,,,,,,,10,,__ERASE__
:R:A:BAS:DJSB:dciBAS-STPPUMP,dci_cb_type,&DB_TING4,,,,,,,,11,,__ERASE__
:R:A:BAS:DJSB:dciBAS-LLALM,dci_cb_type,&DB_CHAO1,,,,,,,,12,,__ERASE__
:R:A:BAS:DJSB:dciBAS-MPRTFLT1,dci_cb_type,&DB_1BENGMADABAOHUQIGUZHANG,,,,,,,,13,,__ERASE__
:R:A:BAS:DJSB:dciBAS-MPRTFLT2,dci_cb_type,&DB_2BENGMADABAOHUQIGUZHANG,,,,,,,,14,,__ERASE__
:R:A:BAS:DJSB:dciBAS-ULFLT,dci_cb_type,&DB_CHAOSHENGBOYEWEIJIGUZHANG,,,,,,,,15,,__ERASE__
:R:A:BAS:DJSB:dciBAS-SYSGS,dci_cb_type,&DB_XITONGGUISHU,,,,,,,,16,,__ERASE__
:R:A:BAS:DJSB:dioBAS-MANAUTO,dio_type,&DB_SHOUDONGZIDONGKONGZHI,,,,,,,,17,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:DJSB:dioBAS-STARTPUP1,dio_type,&DB_1BEN3,,,,,,,,18,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:DJSB:dioBAS-STOPPUP1,dio_type,&DB_1BEN4,,,,,,,,19,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:DJSB:dioBAS-STARTPUP2,dio_type,&DB_2BEN3,,,,,,,,20,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:DJSB:dioBAS-STOPPUP2,dio_type,&DB_2BEN4,,,,,,,,21,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:DJSB:aciBAS-LEVSTA,aci_cb_type,&DB_YEWEIZHUANGTAI,,&DB10,,,,,,22,"SCS_FTOA([.value],""2"",[.unit])",
