ZCIPOWHVNK0001,HVNK0001,1
dalPOW-Reserve10_NKNB0001,dal,3
dciPOW-Reserve11_NKNB0001,dciPOW-Reserve11,2
dfoPOW-Reserve11_NKNB0001,dfo,3
dacPOW-Reserve11_NKNB0001,dac,3
dalPOW-Reserve11_NKNB0001,dal,3
dciPOW-Reserve12_NKNB0001,dciPOW-Reserve12,2
dfoPOW-Reserve12_NKNB0001,dfo,3
dacPOW-Reserve12_NKNB0001,dac,3
dalPOW-Reserve12_NKNB0001,dal,3
dioPOW-BrkRun_NKNB0001,dioPOW-BrkRun,2
dovPOW-Str_BrkRun_NKNB0001,dovPOW-Str,3
dioPOW-BrkStop_NKNB0001,dioPOW-BrkStop,2
dovPOW-Don_BrkStop_NKNB0001,dovPOW-Don,3
dioPOW-BrkRst_NKNB0001,dioPOW-BrkRst,2
dovPOW-Rst_BrkRst_NKNB0001,dovPOW-Rst,3
dioPOW-Screen_NKNB0001,dioPOW-Screen,2
dovPOW-Cancl_Screen_NKNB0001,dovPOW-Cancl,3
dovPOW-Exe_Screen_NKNB0001,dovPOW-Exe,3
sioPOW-HangMain_NKNB0001,sioPOW-HangMain,2
sioPOW-HangForb_NKNB0001,sioPOW-HangForb,2
sioPOW-HangGrnd_NKNB0001,sioPOW-HangGrnd,2
dciPOW-CtrlScrn_NKNB0001,dciPOW-CtrlScrn,2
dfoPOW-CtrlScrn_NKNB0001,dfo,3
dacPOW-CtrlScrn_NKNB0001,dac,3
dalPOW-CtrlScrn_NKNB0001,dal,3
dciPOW-Maintain_NKNB0001,dciPOW-Maintain,2
dfoPOW-Maintain_NKNB0001,dfo,3
dacPOW-Maintain_NKNB0001,dac,3
dalPOW-Maintain_NKNB0001,dal,3
dciPOW-Forbid_NKNB0001,dciPOW-Forbid,2
dfoPOW-Forbid_NKNB0001,dfo,3
dacPOW-Forbid_NKNB0001,dac,3
dalPOW-Forbid_NKNB0001,dal,3
dciPOW-Ground_NKNB0001,dciPOW-Ground,2
dfoPOW-Ground_NKNB0001,dfo,3
dacPOW-Ground_NKNB0001,dac,3
dalPOW-Ground_NKNB0001,dal,3
sioPOW-IscsPow_NKNB0001,sioPOW-IscsPow,2
dciPOW-PowIscs_NKNB0001,dciPOW-PowIscs,2
dfoPOW-PowIscs_NKNB0001,dfo,3
dacPOW-PowIscs_NKNB0001,dac,3
dalPOW-PowIscs_NKNB0001,dal,3
dciPOW-RightPos_NKNB0001,dciPOW-RightPos,2
dfoPOW-RightPos_NKNB0001,dfo,3
dacPOW-RightPos_NKNB0001,dac,3
dalPOW-RightPos_NKNB0001,dal,3
dciPOW-ComSta_NKNB0001,dciPOW-ComSta,2
dfoPOW-ComSta_NKNB0001,dfo,3
dacPOW-ComSta_NKNB0001,dac,3
